department_0,department_1,department_2,department_3,region_0,region_1,region_2,region_3,region_4,region_5,gender_f,gender_m,recruitment_channel_other,recruitment_channel_referred,recruitment_channel_sourcing,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,35,5.0,8,0,49,0
0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,30,5.0,4,0,60,0
0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,34,3.0,7,0,50,0
0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,39,1.0,10,0,50,0
0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,45,3.0,2,0,73,0
0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,2,31,3.0,7,0,85,0
0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,31,3.0,5,0,59,0
0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,33,3.0,6,0,63,0
0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,28,4.0,5,0,83,0
0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,32,5.0,5,0,54,0
0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,30,3.0,1,0,77,0
0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,35,5.0,3,0,50,1
0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,49,5.0,5,0,49,0
0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,2,39,3.0,16,0,80,0
0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,37,3.0,7,0,84,0
0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,37,1.0,10,0,60,0
0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,38,3.0,5,0,77,0
0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,34,1.0,4,0,51,0
0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,34,5.0,8,0,46,0
0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,37,3.0,9,0,59,0
0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,35,3.0,7,0,75,0
0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,41,4.0,11,0,57,0
0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,28,3.0,4,0,63,0
0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,27,3.0,1,0,70,0
0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,2,39,5.0,7,0,59,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,27,5.0,3,0,83,0
0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,31,5.0,4,0,68,0
0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,33,4.0,4,0,79,0
0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,29,5.0,3,0,80,0
0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,26,3.0,1,0,44,0
0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,37,5.0,10,0,72,0
0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,2,26,1.0,2,0,61,0
0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,24,1.0,2,0,48,0
0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,2,57,4.0,6,0,58,0
0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,2,27,5.0,3,0,87,0
0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,40,2.0,4,0,47,0
0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,33,4.0,4,0,75,0
0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,40,5.0,3,0,47,0
0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,42,5.0,5,0,51,0
0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,33,5.0,6,0,51,1
0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,34,3.0,10,0,80,0
0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,2,23,4.0,2,0,57,0
1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,59,4.0,26,0,52,0
0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,3,24,2.0,2,0,48,0
0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,44,5.0,12,0,88,0
